Name,Own_House,Country,Zip_Code,Year,Time,Longitude,Latitude
Rebecca Sutton,False,Seychelles,59977,1980,,73.092983,42.025165
Kristen Beltran,False,Kazakhstan,06338,1997,,-167.085142,17.488428
Helen Rogers,True,Lithuania,80860,1974,,-115.233071,-48.899822
Natalie Johnson,True,Slovenia,64086,1997,,-56.561627,17.6576535
Steven Morgan,True,Kiribati,59530,2007,,-48.857065,-25.626319
Clarence Ballard,True,Norway,27353,2006,,156.104858,51.499700
Rachel Myers,True,Monaco,73411,2004,,73.251035,-26.7693905
Carrie Good,True,Monaco,63039,1996,,127.266040,-14.166632
Krista Robinson,True,Jersey,23007,1988,,-52.431971,-43.905226
Becky Mccann,False,Lithuania,91248,1997,,164.687203,64.191068
Dr. Thomas Higgins,True,Turkey,25800,1971,,97.373185,41.1618855
Hector Cunningham,False,Jamaica,28091,2008,,78.940947,59.0292975
Melissa Cooper,False,Slovakia (Slovak Republic),55283,1986,,-7.316295,-72.8348645
Molly Johnson,True,Bhutan,21721,1972,,33.907273,14.484967
Brenda Williams,True,Martinique,33229,2006,,176.490206,39.3150425
Lisa Brown,True,Colombia,83776,2004,,89.507078,37.713933
Ashley Bradford,False,Brazil,62171,1971,,53.321122,-85.886003
Nicholas Reyes,False,Kyrgyz Republic,54164,1993,,18.285327,-5.086155
Brian Armstrong,True,Brunei Darussalam,90993,1994,,-57.278623,43.433479
Mary Powell,True,Cook Islands,70308,1972,,68.868585,20.861069
Linda Reed,True,South Africa,39594,1972,,124.593664,50.126092
Diana White,False,Romania,50740,2009,,-111.756319,46.6170285
Michele Higgins,False,Liberia,89029,2007,,-66.830109,47.0773205
Robert Rice,False,Cook Islands,48925,2017,,-78.628031,-61.684421
Stephanie Wilson,False,Turks and Caicos Islands,57631,1998,,5.814906,2.2233985
Lisa Turner,False,New Caledonia,59579,1995,,121.333360,-86.4073095
Kendra Noble,True,Serbia,92783,2002,,-5.738681,35.9922925
Michael Singh,False,Mongolia,34166,2017,,-89.093679,80.612299
Benjamin Montgomery,False,Oman,87019,2018,,98.279525,-77.747682
Ryan Moore,True,Lao People's Democratic Republic,32668,2009,,173.934145,48.983962
Nicole Davis,False,Slovakia (Slovak Republic),26452,1970,,-138.065018,66.552404
John Peterson,True,Zimbabwe,19168,2018,,-4.209761,81.776335
Lori Cox,False,Guernsey,42280,2003,,35.297832,66.1042095
Christopher Chavez,True,Australia,03300,1985,,-177.142344,-48.369919
Tracy Lopez,True,Holy See (Vatican City State),95556,2021,,125.042521,82.2600185
Katherine Hawkins,False,Guatemala,97064,2012,,-141.560309,84.4882985
Courtney Chapman,False,Argentina,11757,1991,,167.204336,-12.2483495
Nicolas Davis,False,Belgium,64246,2003,,-156.361202,-9.984358
Linda Sherman,True,British Indian Ocean Territory (Chagos Archipelago),55606,2002,,-16.731396,-31.144250
Tyler Miller,True,Sweden,67959,1982,,124.882590,69.2392025
Zachary Stuart,False,France,84574,2002,,-131.068067,-64.055656
Troy Drake,False,American Samoa,53713,1975,,166.776941,56.7391975
Michael Clark,False,Nigeria,25347,1980,,129.449198,-20.4822915
James Matthews,False,Finland,69696,2015,,132.518157,41.7803565
Anna Cameron,True,Timor-Leste,92182,1992,,-164.124562,85.067121
Mary Waters,True,Mauritius,54972,1976,,34.928344,53.379364
Daniel Perry,True,Yemen,45515,2004,,-39.565307,-73.541630
Eric Moon,True,Svalbard & Jan Mayen Islands,04187,2015,,126.030693,50.0813705
Norma Gibson,True,Peru,04615,2011,,-65.258208,-56.995383
Joshua Barnett DDS,True,Azerbaijan,74311,2016,,-40.577399,37.0977365
John Thomas,True,Mexico,01956,1980,,132.278525,-23.5433965
Russell Myers,False,Martinique,47837,2007,,149.993029,-86.832263
Pamela Johnson,False,French Southern Territories,88787,1992,,-160.575975,72.1418825
Gregory Rose,True,Guernsey,14306,2006,,122.102293,-43.976499
Whitney Luna,False,Norway,65107,2017,,12.468648,24.0979085
Carrie Wilcox,True,Sierra Leone,71767,1985,,-174.330720,61.581083
Sara Lowery,True,Antarctica (the territory South of 60 deg S),97204,1993,,-171.263952,52.3741695
Jacob Mccoy,False,Turkmenistan,17733,1971,,-131.710330,-2.0057085
Joseph Smith,False,India,42166,1990,,-84.241869,-71.3314605
Brandon Santos,True,Nauru,81112,2010,,-96.018064,77.7351555
William Ochoa,True,United States Virgin Islands,72543,2016,,-160.985903,-43.850685
Angela Wise,False,Saint Helena,97953,1980,,151.694119,-82.553301
Monica Martinez,False,Yemen,13071,2008,,31.665589,-11.696769
Lisa Conley,False,Denmark,98304,2005,,82.192442,6.828825
Erika Jordan,True,Algeria,25366,1973,,82.819124,58.6264085
Kristin Clark,False,Guernsey,08110,2010,,39.706612,60.7952645
