Name,Own_House,Country,Zip_Code,Year,Time,Longitude,Latitude
Jenna Waters,True,Afghanistan,79276,1985,,104.727358,27.266903
Kara Jefferson,False,Japan,31959,2018,,168.608715,-14.9967495
Jason Vasquez,True,Canada,35321,2011,,-58.641036,-33.020981
Susan Burke,True,Wallis and Futuna,17099,2018,,23.887029,63.1454325
Jon Davis,False,Netherlands Antilles,11262,2017,,-72.118587,-63.8518625
Kathleen Hampton,False,Finland,02527,1986,,-148.135489,-75.5731245
Michelle Andrews,True,Myanmar,91798,1975,,141.708369,-12.3045515
Tammy Moore,True,San Marino,67104,2012,,175.957518,72.775535
Taylor Moore,False,Bolivia,63782,2015,,96.200243,-85.164336
Mark Fisher Jr.,True,Saint Vincent and the Grenadines,07066,1983,,-7.610295,-76.156437
William Davis,False,Mauritania,05512,1979,,34.179165,-83.428600
Diana Yates,False,India,98646,1992,,-130.298070,-75.525654
Melanie Johnson,False,Brunei Darussalam,10871,2014,,-21.150712,83.244538
Crystal Williams,False,Tanzania,16872,1988,,14.653252,-87.6122265
Amy Martinez,False,Argentina,97289,1977,,165.928008,34.650002
Katherine Duncan,False,Argentina,60722,1981,,-29.970976,61.559054
Julie Kennedy,False,Saint Barthelemy,67492,1984,,130.187037,3.234223
Kelli Cordova,True,Cyprus,51993,2019,,4.255904,85.537302
Jared Hall,False,Oman,59089,1987,,115.475978,-60.0483155
Anthony Jenkins,False,Germany,68176,1989,,143.717640,-14.4172065
Gregory Jones,False,Macedonia,71317,1982,,-96.272434,-61.5071605
Bryan Alexander,False,Azerbaijan,57417,2007,,-155.543749,43.1280745
Deborah Campbell,True,Syrian Arab Republic,51184,1976,,81.331838,-61.722086
John Strong,True,Puerto Rico,25441,2009,,56.960812,-70.9696435
Tony Ford,True,Cambodia,35270,2014,,-153.479716,-66.999040
Nicole Cohen,False,Cocos (Keeling) Islands,28989,1974,,-160.831347,66.502436
Chad Hughes,False,Guam,29019,1974,,-2.827163,15.804547
Jose Robinson,False,Taiwan,11721,1996,,39.068882,-55.4478365
Reginald Brown,True,Colombia,19867,2009,,127.518913,-36.1426665
Troy Jordan,True,Venezuela,96638,1999,,25.220982,84.190320
