Name,Own_House,Country,Zip_Code,Year,Time,Longitude,Latitude
Joe Cummings,True,Finland,69874,1970,,140.758355,52.122104
Kyle Clark,True,Martinique,85754,1998,,9.468976,79.034609
Katherine Williams,True,Hong Kong,49575,2012,,-24.100829,40.369356
Sarah Bradshaw,True,Falkland Islands (Malvinas),80028,1999,,-52.139129,73.719086
Tristan Fox,False,Ecuador,16571,1988,,1.347155,-53.8545875
Elaine Carroll,True,Malta,70424,1991,,72.860347,-25.9500605
Michael Yu,False,Venezuela,14568,1999,,30.809453,-38.5176165
Brittany Taylor,True,Wallis and Futuna,41076,1999,,-106.996344,74.9095345
Carolyn Marks,True,Nepal,62590,1997,,33.112804,67.163290
Sean Walsh,True,Saint Kitts and Nevis,51337,1990,,-76.094291,-21.9700585
Mr. Bryce Small,False,Libyan Arab Jamahiriya,92516,1987,,33.377976,86.684332
Christopher Peterson,True,Cameroon,64193,1990,,-153.068865,-63.031748
Susan Kelly,False,Guadeloupe,85081,2000,,151.255702,-79.6512075
Paul Gomez,False,Sierra Leone,87552,1987,,170.045044,-65.2629325
Ann Watson,False,Cyprus,32467,1989,,36.345506,-37.075949
Erika Frank,False,Latvia,34113,1978,,144.065910,33.637620
Amanda Solis,True,New Zealand,19630,1972,,8.700050,19.2745535
Juan Stewart,True,American Samoa,49750,2000,,-20.134808,-45.8517055
Kristy Woods,False,Turkey,48700,1986,,-83.086295,-22.928247
Mary Foster,False,Trinidad and Tobago,97460,2010,,13.796579,75.934782
Shirley Cortez,False,Northern Mariana Islands,63856,2004,,34.580036,-3.0950325
Michael Garrett,False,Luxembourg,21289,2002,,-90.723304,-44.8017685
Jerry Hernandez,True,Singapore,84463,1991,,179.247124,69.979188
Zoe Walters,True,Mexico,41271,1996,,-49.144311,56.0404675
Tammy Green,True,Bosnia and Herzegovina,44957,2010,,51.049965,63.722038
Brianna Carter,True,Lebanon,58006,2019,,80.622303,4.5455885
Melissa Smith,False,Namibia,34067,2015,,152.001529,77.476004
Samantha Dawson,False,Peru,01327,1971,,-177.430595,-11.276432
David Dixon,True,United Kingdom,14726,1983,,-154.543489,-89.332963
Samantha Castillo,False,Guyana,10324,1970,,-47.750141,30.2773435
Mark Bradley,True,Lesotho,81336,2019,,-139.269863,63.665128
Stephanie Martinez,False,Trinidad and Tobago,42875,2003,,-126.307621,-13.049904
Stacey Lee,True,Afghanistan,80189,2020,,-168.736452,23.7651665
Samuel Mason,False,Kenya,71714,1989,,-55.039161,89.304893
Savannah Alexander,False,Austria,54723,1996,,85.353618,46.356539
Alexandra Smith,False,Isle of Man,69773,1975,,-64.638432,-81.709089
Elizabeth Brown,False,Maldives,66442,2011,,-28.437868,-82.3272995
Steven Gardner,False,Tanzania,29516,2016,,32.659522,-29.487156
Richard Christian,False,Anguilla,46106,1978,,-153.697108,-32.3831785
Matthew Lucas,False,Albania,30868,1987,,52.510529,-20.141270
Lisa Myers,False,France,92106,2007,,-179.797794,2.095704
Erin Perez,True,Croatia,89423,2017,,21.000517,-35.814684
Alexis Ashley,True,Venezuela,74532,2011,,140.169095,18.5398465
Sara David,False,Uzbekistan,58906,1978,,32.545491,59.496259
Mary Walker,False,Canada,63741,1994,,82.355635,-44.242807
Mike Price,False,Faroe Islands,49166,2001,,98.556746,56.7905185
Courtney Mcneil,True,Belarus,69277,1973,,-114.136612,31.198728
James Cortez,True,Croatia,91737,2014,,-139.348849,-9.4393575
Dr. Natalie Russell,False,Austria,93146,2012,,77.558483,-43.318763
Joel Johnson,False,British Indian Ocean Territory (Chagos Archipelago),82056,1978,,58.213532,35.778925
Maria Butler,True,Niger,73929,1998,,-98.150674,26.2156325
Cristian Carroll,False,Yemen,60732,1977,,21.275032,-8.4002015
Debbie Morris,False,Cote d'Ivoire,90892,2001,,20.395679,-23.177593
Kim Wilson,True,Turks and Caicos Islands,71963,2011,,32.739102,85.373335
Wendy Wallace,False,Heard Island and McDonald Islands,59294,2014,,-68.503047,28.0221255
Robert Hernandez,True,Svalbard & Jan Mayen Islands,98300,2021,,-141.500004,-69.0221695
Larry Cox,False,United States Minor Outlying Islands,66409,2013,,-54.713151,18.774573
Tracy Rodriguez,True,Botswana,55534,2002,,-17.487657,-83.555515
Amanda Ross,False,Palestinian Territory,84230,1998,,-162.602621,52.637153
Johnny Miller,True,Lesotho,72860,1984,,33.881793,-87.6338175
Tiffany Collier,True,Iran,97758,2016,,-38.743736,-23.0156485
Stephanie Thomas,True,Barbados,84977,2008,,93.388393,5.797461
Ernest Little DDS,False,Niue,28323,2007,,-62.511341,82.2850135
Adam Sparks,False,Antarctica (the territory South of 60 deg S),73605,2000,,104.893713,17.0121525
Christine Lambert,True,Botswana,25607,1994,,-17.376384,46.543252
Karen Miller,False,Ireland,74215,2003,,-165.745650,36.9130015
Meghan Garza,True,Niger,73927,2001,,37.198215,15.442507
Jerry Hopkins,False,Nigeria,99579,2015,,41.470119,17.0994645
Dylan Thomas,True,Timor-Leste,90092,1985,,24.861019,-47.370385
Joseph Washington,True,Somalia,78054,1990,,128.643258,-29.3694715
Kyle Davis,False,Aruba,52448,2020,,-168.165027,-20.420520
Amanda Johnson,True,Saint Pierre and Miquelon,28929,2005,,-4.474631,35.317256
Eric Robertson,True,Saint Vincent and the Grenadines,79125,2006,,39.628621,79.528370
David Crawford,True,Saint Kitts and Nevis,77429,1972,,-106.386530,66.7692315
Jennifer Fernandez,False,Slovenia,95468,1987,,72.223132,28.487103
Nicole Johnson,True,Honduras,83124,2018,,109.471714,-21.716358
Shannon Rhodes,True,Austria,78112,1981,,132.690975,-36.190827
Joyce Parker,False,Ecuador,17011,1972,,47.243688,6.5489255
Brittany Williams,True,Bangladesh,40444,1996,,155.350233,65.769377
Tamara Rodgers,True,Sierra Leone,88408,1972,,-163.557863,-50.5799775
Melanie Douglas,True,Kazakhstan,70372,2018,,24.909534,50.283604
Christopher Fletcher,False,Greenland,10408,2011,,159.894174,-66.327949
Chad Graves,False,Svalbard & Jan Mayen Islands,34370,2021,,139.521374,-43.888359
Nathan Collins,False,Isle of Man,85491,1988,,-60.970541,50.266773
Robert Diaz,False,British Indian Ocean Territory (Chagos Archipelago),37038,2008,,17.447600,-87.2976185
Jeffrey Bauer,True,Guatemala,19346,2012,,23.125093,-55.1711225
Miguel Barnes,True,Peru,43078,2012,,26.181326,-46.968852
John Sandoval,False,Trinidad and Tobago,84831,1993,,48.208574,64.7029255
Stephen Pham,True,Moldova,85539,2015,,114.684530,-62.2684465
Samantha Walters,False,Togo,47015,2015,,51.776050,-70.056295
Aaron Holloway,False,Kiribati,26122,1998,,41.894716,-12.7470765
Michael Carter,False,Iran,15659,1994,,-21.793883,-51.657617
Natalie Berry,True,Jordan,40493,2004,,158.542738,49.966801
Michael Cruz,False,Saint Vincent and the Grenadines,95438,2003,,-169.164687,-14.7547465
Jennifer Welch,False,Czech Republic,20705,1971,,-7.882252,-85.6214095
Heather Harris,False,Seychelles,11879,1998,,46.642091,9.9461215
Sharon Douglas,True,Dominica,08854,2003,,159.358248,-49.659461
David Macdonald,False,Finland,94603,2007,,-110.666383,30.653039
Shannon Valdez,True,Libyan Arab Jamahiriya,58356,1987,,161.330780,32.902309
Gregory Wells,False,Russian Federation,85481,1978,,-137.502772,9.763886
Theresa Miller,False,Mexico,16443,1993,,70.497584,-16.886016
Patty Huff,True,Pitcairn Islands,09479,2009,,-21.928975,-65.5585245
Joseph Olson,False,Algeria,72435,1997,,-92.370289,-29.4483415
Erika Davis,False,Saint Lucia,63185,2015,,-16.472199,27.099865
Bethany Singh,False,Tuvalu,28148,1984,,151.784520,-28.0805075
Michael Erickson,True,Bolivia,83240,1985,,58.436162,-73.8414985
Andrew Hughes,True,Vanuatu,60456,2018,,-93.471695,16.453723
Evelyn Garza,False,Taiwan,19395,2007,,-54.014685,8.231967
Kyle Alvarado,True,Burundi,72237,2013,,-131.807322,87.5593625
Michael Fox,False,Macao,01481,2001,,16.666288,-41.106699
Elizabeth Lee,False,Uzbekistan,10612,2018,,2.421903,-89.548183
Allison Brown,False,Tonga,87245,2002,,-11.073297,-49.878612
Julia Vaughn,False,Slovenia,02102,2017,,-88.517967,-77.283497
Scott Jordan,False,Myanmar,75927,1984,,-48.475943,-47.1620395
Megan Richardson,False,Christmas Island,54773,1982,,84.270284,66.5380655
Charlotte Wagner,False,Colombia,35707,1989,,174.201567,-59.462266
Kristen Bryant,False,Sierra Leone,77756,2002,,39.881643,52.2847295
Gregory Hampton,False,Indonesia,68516,2009,,30.201750,54.3260985
Tiffany Fischer,True,Singapore,21840,2016,,163.034077,13.4935505
Shelby Walker,False,Algeria,59174,1995,,154.062904,-16.5299645
Robert Hardy,False,Montserrat,11924,1990,,-37.290139,39.7334185
Gina Howard,True,Senegal,86951,1990,,161.578765,-3.169140
Nicole Wood,True,Rwanda,26015,2016,,132.274856,17.1551145
Jason Mcdaniel,False,Botswana,49102,1993,,-106.743997,79.9682575
Nancy Norton,True,Wallis and Futuna,89614,1986,,15.929958,-72.7977465
Michael Payne,False,United Kingdom,79169,2004,,137.972359,13.4014755
Nicole Tucker,True,Syrian Arab Republic,11440,2011,,-145.802665,29.5684005
Glen Koch,False,Senegal,20774,1995,,-146.916926,-48.983871
Mary Jackson,True,Bouvet Island (Bouvetoya),56839,1984,,150.098066,63.760743
James Fernandez,True,Montserrat,42782,1976,,99.512962,56.6714005
Jermaine Patterson,True,British Indian Ocean Territory (Chagos Archipelago),48561,1981,,-141.101514,74.113333
Michael Marshall,False,India,44570,1982,,46.452637,-23.924161
Jacqueline Cabrera,False,Isle of Man,13540,2016,,140.243948,-55.0587455
Christina Tucker,True,Grenada,76880,1985,,-44.293785,-11.2697835
Amber Greene,False,Guinea,52646,1975,,-171.223949,39.9564045
Brandon Pacheco,True,Yemen,39751,2014,,-33.354811,-49.8661905
Zachary Gonzalez,True,Macedonia,85308,1971,,20.630532,-3.579353
Catherine Gray,False,Belgium,25580,1996,,179.629729,-31.4574935
James Edwards,True,Eritrea,93368,1976,,-93.708961,-73.192231
Debra Brown,True,Australia,35804,1982,,-58.803670,35.945599
Nicole Thomas,True,Namibia,15959,1999,,86.783025,53.011134
Danielle Johnson,True,Armenia,37712,2000,,8.262693,-24.790575
Gregory Robinson,True,Switzerland,05309,1992,,-160.514136,44.275549
Paul Gordon,True,Turkey,57947,1996,,147.976088,72.7207965
Mrs. Margaret George,True,Christmas Island,13308,1993,,94.788433,-65.2540835
Jasmine Walker,True,British Indian Ocean Territory (Chagos Archipelago),48958,2019,,156.152899,5.0539995
Phillip Wheeler,True,Mayotte,25747,1997,,73.571885,27.055986
Margaret Griffin,False,Turks and Caicos Islands,89913,2013,,18.078370,66.061267
Joseph Mann,False,Djibouti,35388,1980,,-76.049597,-49.4666935
Kyle Cooper,False,Kyrgyz Republic,20446,2000,,136.580852,-55.6222855
Samuel Rios,True,Myanmar,44694,2016,,101.279247,-71.525931
Stacy Rose,True,Mauritania,16367,2010,,57.493500,-27.791342
Nancy Morales,False,Afghanistan,19442,2020,,15.595132,31.4557615
Michael Crawford,True,Sri Lanka,98248,2020,,107.014943,-44.3602325
Erin Green,False,Afghanistan,58284,1976,,-62.608070,46.8169915
Robin Maddox,False,Qatar,71366,1987,,-91.879810,52.495106
Matthew Stark,False,Algeria,41342,2005,,78.438669,35.769197
