Name,Own_House,Country,Zip_Code,Year,Time,Longitude,Latitude
Christian Rogers,False,Netherlands,32053,1998,,157.161522,-49.034464
Samantha Williams,False,Dominican Republic,52683,2009,,119.545172,45.077035
Thomas Huff,False,Mongolia,13030,1984,,-6.715749,88.541802
Joan Grant,False,Benin,99410,1997,,-136.687562,-80.5981235
Amy Turner,True,Uruguay,88443,2014,,90.368164,-36.3099625
Jeremy Patterson,False,Brunei Darussalam,40766,1983,,175.462793,11.562570
Richard Holmes,True,Guernsey,76793,1989,,-117.047756,-67.0592685
Joseph West PhD,True,Bosnia and Herzegovina,91551,2002,,-2.686723,84.289454
Scott Chen,False,United Arab Emirates,44773,1989,,129.288188,-78.185230
Daniel Rose,False,Jamaica,16354,2014,,144.431401,54.303164
Corey Campbell,False,Fiji,71522,1977,,-7.143605,-42.699292
Anthony Guerrero,False,Mauritius,07632,2004,,113.100261,-73.4584825
Jill Lopez,True,Saint Kitts and Nevis,99069,1991,,55.680307,-18.110261
Joseph Hayes,True,Yemen,59394,1983,,78.119240,89.2901795
Nicholas Castillo,True,Venezuela,06729,2007,,116.043971,-76.8667515
Grant Summers,False,Malawi,83709,2018,,-177.580697,72.8949285
Michelle Nguyen,False,Czech Republic,31609,2007,,-63.975348,52.7773055
Nicole Young,True,Montenegro,16064,2003,,158.864049,3.732445
Jason Johnson,True,Thailand,38552,2014,,-64.403361,-3.6844165
Craig Kent,True,Hungary,22613,1983,,29.010208,30.6387865
Gary Frost,False,Mozambique,05568,1970,,28.000469,-6.759029
Lance Carter,True,Turkey,29977,1972,,130.886830,-12.1718435
Mario Wood,False,Cambodia,81762,2020,,-97.102346,63.028882
Savannah White,True,Dominica,25376,1999,,73.822049,-58.8990755
John Taylor,False,Egypt,04460,2020,,156.676332,58.9850085
Brandon Peters,False,Saint Lucia,36835,2012,,-37.138637,-44.130611
Claudia Edwards,False,Palestinian Territory,21681,1979,,-148.883927,60.316377
Cynthia Porter,True,Lao People's Democratic Republic,17079,2012,,-42.998639,78.242017
Mr. Jesus Johnson,False,Holy See (Vatican City State),55047,2018,,13.145222,-26.7143705
Ryan Landry,False,Ireland,98221,1986,,19.675098,-36.296228
Miguel Lawson,False,Costa Rica,45117,2018,,37.787613,43.2271895
Steven Parks,False,Georgia,61520,1991,,-83.787668,18.6077595
Gina Kirk,True,Yemen,63823,2011,,128.090387,-49.888126
Jennifer Wilson,True,Singapore,93604,1997,,-112.634433,-80.318263
Andrew Brock,False,Ghana,05598,2003,,101.192579,-58.119320
Kayla Smith,False,Guyana,40381,1992,,5.866357,66.5070875
Kimberly Santos,False,Zambia,84431,1986,,6.841332,-26.8048775
Edward Murphy,True,Ecuador,92899,2008,,-40.270457,75.1434295
Justin Arroyo,False,Georgia,84329,2014,,-99.380564,57.719578
Nathan Castillo,False,Norfolk Island,63719,1982,,-52.425256,59.8706655
Dustin Esparza,True,Congo,18309,1981,,10.845395,71.681246
Jonathan Combs,False,Cocos (Keeling) Islands,91501,2001,,-96.392102,-69.045353
James Nelson,False,Mayotte,61114,2005,,-174.743219,44.747621
Lisa Johnson,False,Haiti,68531,1994,,126.211704,-4.490979
Sheryl Bush,False,Bermuda,75678,2002,,-52.410677,17.633898
Casey Brooks,True,Gabon,08647,1998,,-26.011832,-4.3573565
Mr. Michael Pham,False,Timor-Leste,44004,2001,,-78.049006,3.561449
Lee Bradley,True,Northern Mariana Islands,59662,2009,,45.511280,22.550137
Anne Campbell,False,Congo,08381,2018,,-108.943043,-33.576144
Charles Reid,True,Palau,94309,2001,,149.137939,30.5589285
Molly Lambert PhD,False,France,99001,2019,,86.668540,72.076324
Mark Perez,True,Sri Lanka,11068,2003,,79.804862,17.7672325
Samantha Myers,True,Greece,82439,2020,,-134.568649,-80.322836
Walter Riggs,False,Kiribati,20378,2016,,19.327167,-12.0361475
Lindsey Kelly,False,Trinidad and Tobago,20140,1976,,-71.754024,-45.048303
Tina Hubbard,False,Congo,98732,2013,,128.229281,60.2183185
Hannah Torres,True,Sweden,33811,1974,,-30.269711,-31.850446
Daniel Lee,False,Guinea,74852,1993,,102.306287,-8.7008415
Dana Sherman,True,Bahrain,18547,1974,,128.683850,49.002312
Melissa Gibson,False,Canada,68525,2017,,-80.478310,72.7149685
Walter Carpenter,True,Cyprus,57397,1987,,-162.524173,39.6963085
Amy Hammond,True,Mexico,14615,1977,,84.461395,58.032645
Morgan Knight,False,Sao Tome and Principe,02584,2000,,31.399794,13.435737
Jonathan Jones,True,Chad,26942,1988,,52.548890,-9.401792
Brian Bell,False,Faroe Islands,13378,1989,,59.977062,-2.7642395
Dalton Nelson,False,Japan,51164,2005,,-59.217264,39.473893
Rhonda Stewart,False,Czech Republic,77072,1983,,-100.782106,23.4311265
Kelsey Henry,True,Nicaragua,75862,1995,,-26.401970,20.428248
Mr. Daniel Black,False,Serbia,35950,1977,,172.059419,-31.1013345
Sara Mercado,True,Mayotte,21424,2002,,104.884350,35.5048535
Kenneth West,True,Montserrat,55644,1990,,175.570755,-57.411801
Benjamin Simmons,False,Wallis and Futuna,06037,1971,,150.672783,76.379584
Renee Washington,False,Grenada,91099,2013,,164.677248,-57.885240
Morgan Torres,False,Botswana,14997,1990,,98.763839,-38.3575915
Beth Lewis,True,Turkey,61086,2016,,42.409038,-64.0921845
Jasmine Madden,True,Luxembourg,36874,1985,,74.847028,-78.2120045
Diana Richmond,True,Norfolk Island,53084,1989,,60.607909,-28.268752
Tiffany Miller,False,Qatar,47314,1983,,79.639500,-8.2801495
Tamara Cortez,False,Poland,73787,1985,,4.181148,47.7672825
Mr. Jeffrey Brown,False,Guinea,77181,1996,,-37.859906,-79.8605965
Cynthia Davis,True,Dominica,08706,1987,,-5.865042,44.353310
Ronnie Mcdonald,True,Northern Mariana Islands,77893,2000,,-7.957359,35.343815
Justin Clayton,True,Russian Federation,29243,1981,,-72.150702,69.459339
Kimberly Phillips,True,American Samoa,99655,1978,,-80.132761,-58.6083085
Kevin Bray,False,Central African Republic,96569,1982,,144.230186,31.780881
Jeffrey Gray,True,Indonesia,03453,2011,,96.623911,-74.0720725
Erin Morgan,True,Bosnia and Herzegovina,79953,2015,,51.699786,74.831384
Joel Reed,True,Kazakhstan,63070,2019,,55.489960,-13.8620675
Amanda Mathews,False,Denmark,04794,2020,,93.795805,34.4083575
Emily Phelps,True,Saint Martin,40102,1975,,120.344794,69.0474385
Karen Schmidt,False,Netherlands Antilles,32484,1979,,-82.503556,-0.266323
Rebecca Hanson,False,India,92047,1986,,-178.557853,-38.028614
Brian Bailey,False,Sweden,43232,2008,,97.516472,35.902464
Kayla Pierce,True,Chad,01601,1981,,-13.134651,52.3844225
Kelly Thompson,False,Svalbard & Jan Mayen Islands,40546,2010,,13.400754,-31.0909795
Allison Wright,True,Maldives,18769,1974,,-61.844712,-5.1070975
Kathleen Branch,False,Azerbaijan,84294,2006,,-28.695749,56.0812715
Richard Evans,False,Egypt,38275,2016,,-84.655729,85.119648
Tony Watson,False,Estonia,53321,1971,,20.294577,-78.173176
Cassidy Ramirez,True,Grenada,51460,2012,,98.533480,-45.2758975
Tyler Sullivan,True,Kiribati,97268,1981,,23.625412,-2.341414
James Chen,False,Gambia,85941,1992,,24.970976,-1.4149385
Sara Ashley,False,Panama,26939,1973,,84.053045,74.608636
Melissa Little,False,South Georgia and the South Sandwich Islands,54402,1988,,-173.479796,-75.4182305
Aaron Jarvis,True,Macedonia,31421,2015,,141.356315,-18.293188
Richard Malone,False,Cyprus,87323,2006,,-18.384304,-49.325906
Amanda Rivers,True,Sudan,92502,2009,,-175.441934,-56.276012
